"","X","Slope","TrueID","Treatment","PropAlive","Performance","Food","dryweight","Protein","Carbs","LineWeight1","LineWeight2","Enacapsulation","PO","ProPO","Protein.1","BSA.Slope","BSA.Intercept","RealProtein","maxweight","Protein.2","RealProtein.2","Distance","PerformanceSTD","EncapsulationSTD","POSTD","RealProteinSTD","ProPOSTD"
"1",1,0.02280225,11,"Control",0.712121212,0.016237966,29.0246,6.916597214,2.144145136,2.559140969,0.704,0.87,0.166,6.67e-05,7.92e-05,0.456,-6.0537,2.8087,0.0482128,8039.2,1.0655648,1.93688371024,3.33864656162444,0.610769158573026,-0.534499292174639,-0.983003771258766,1.65622521270963,-0.882490528857127
"2",2,0.019035844,21,"Control",0.712121212,0.013555828,22.0338,5.238176042,1.623834573,1.938125136,0.687,0.867,0.18,NA,NA,NA,NA,NA,NA,8832.1,NA,NA,2.52847142820818,0.064494746172322,-0.500254135031876,NA,NA,NA
"3",3,0.022234186,12,"Control",0.712121212,0.015833436,33.258,7.93299422,2.459228208,2.935207861,0.841,0.871,0.03,0.000133,9.61e-05,0.4545,-6.0537,2.8087,0.05729335,10717.1,1.06876985,1.917481299055,3.82926214384692,0.528378025809366,-0.867166532990053,-0.880205697045543,1.61481905408546,-0.848328017484521
"4",4,0.023473408,22,"Control",0.712121212,0.016715912,18.9256,4.491928304,1.392497774,1.662013472,NA,NA,NA,NA,NA,NA,NA,NA,NA,8629.3,NA,NA,2.16825709538893,0.708113020189865,NA,NA,NA,NA
"5",5,0.018409341,32,"Control",0.712121212,0.013109682,23.8957,5.685199613,1.76241188,2.103523857,0.88,1.232,0.352,NA,NA,NA,NA,NA,NA,9139.9,NA,NA,2.74425003447814,-0.0263723695372072,-0.0795279187065004,NA,NA,NA
"6",6,0.020752579,42,"Control",0.712121212,0.014778352,20.7303,4.925218727,1.526817805,1.822330929,NA,NA,NA,NA,NA,NA,NA,NA,NA,3842.2,NA,NA,2.3774067015248,0.313487743454996,NA,NA,NA,NA
"7",7,0.022294983,13,"Control",0.712121212,0.01587673,34.8723,8.320571507,2.579377167,3.078611458,0.733,0.742,0.009,0.0003455,0.000104,0.4525,-6.0537,2.8087,0.06940075,10304.6,1.07304325,1.891611417475,4.01634598596409,0.537195769121036,-0.918534268704197,-0.550724689951878,1.55961084258656,-0.832358559505611
"8",8,0.022152318,23,"Control",0.712121212,0.015775135,13.0464,3.080391176,0.954921265,1.139744735,0.632,0.79,0.158,0.0004123,0.00021,0.5001,-2.9912,1.9203,0.42440088,6078.4,0.97133633,1.133082639704,1.48690708630681,0.516503787974708,-0.554067953399075,-0.447151366310198,-0.0591448158683406,-0.618084819535421
"9",9,0.021942857,43,"Control",0.712121212,0.015625974,24.9304,5.933620736,1.839422428,2.195439672,0.789,0.921,0.132,0.00021,0.000112,0.3723,-2.9912,1.9203,0.80667624,7028.3,1.24440659,0.316274877992,2.86416309277612,0.486123979915577,-0.617666102378493,-0.760817285063368,-1.80227207074536,-0.816186956488993
"10",10,0.016827483,83,"LowP",0.142857143,0.002403926,9.6,2.252945,0.42805955,0.83358965,0.887,0.91,0.023,0.001634,9.32e-05,0.2112,-2.9912,1.9203,1.28855856,8494,1.58862896,-0.713363075152,0.937073467201652,-2.20682712921225,-0.884289111561434,1.44709308717842,-3.99959445541427,-0.854190223578045
"11",11,0.021281615,14,"Control",0.712121212,0.015155089,25.498,6.06989582,1.881667704,2.245861453,0.9707,0.999,0.0283,6.2e-05,0.000142,0.4722,-2.9912,1.9203,0.50785536,9533.2,1.03095026,0.954765452288,2.92994317595886,0.390218241029918,-0.871324873500245,-0.99029111588625,-0.439686681369661,-0.755543445176675
"12",12,0.019844038,24,"Control",0.712121212,0.01413136,36.3316,8.670934844,2.687989802,3.208245892,NA,NA,NA,NA,NA,NA,NA,NA,NA,10295,NA,NA,4.18546662621874,0.181714070874407,NA,NA,NA,NA
"13",13,0.019204611,34,"Control",0.712121212,0.013676011,25.2575,6.012154175,1.863767794,2.224497045,NA,NA,NA,NA,NA,NA,NA,NA,NA,10604.9,NA,NA,2.90207124191763,0.0889725686056023,NA,NA,NA,NA
"14",14,0.021769046,15,"Control",0.712121212,0.015502199,28.9486,6.898350374,2.138488616,2.552389638,NA,NA,NA,NA,NA,NA,NA,NA,NA,8888.5,NA,NA,3.32983879864046,0.460914570334528,NA,NA,NA,NA
"15",15,0.024320279,25,"Control",0.712121212,0.017318986,22.445,5.33690105,1.654439326,1.974653389,NA,NA,NA,NA,NA,NA,NA,NA,NA,9825.4,NA,NA,2.5761260625413,0.830941858595698,NA,NA,NA,NA
"16",16,0.021239981,35,"Control",0.712121212,0.015125441,12.1671,2.869280039,0.889476812,1.061633614,0.748,0.827,0.079,0.000175,8.77e-05,0.492,-6.0537,2.8087,-0.1697204,5684.3,0.9886436,2.40254157868,1.3850035846381,0.384179795663253,-0.747308482990382,-0.815084745055265,2.64997301968983,-0.86530820065197
"17",17,0.023615197,45,"Control",0.712121212,0.016816883,27.0749,6.448493741,1.99903306,2.385942684,NA,NA,NA,NA,NA,NA,NA,NA,NA,9268.5,NA,NA,3.11269267135483,0.728677910473107,NA,NA,NA,NA
"18",18,0.02221346,16,"Control",0.712121212,0.015818676,26.1,6.21443,1.9264733,2.2993391,0.645,0.663,0.018,0.0004415,0.0004335,0.4865,-2.9912,1.9203,0.4650812,8891.7,1.00039545,1.04616099996,2.99970993137698,0.52537183808635,-0.896519524826707,-0.401876799688386,-0.2446419259335,-0.166290660258653
"19",19,0.022350975,46,"Control",0.712121212,0.015916603,23.0089,5.472287801,1.696409218,2.024746486,0.88,0.755,-0.125,0.00189,0.0007795,0.4585,-2.9912,1.9203,0.5488348,8424.4,1.06022305,0.86720468284,2.64147734563155,0.545316753069533,-1.2463093442135,1.84402079454773,-0.626547740773536,0.533131170210079
"20",20,0.012197127,17,"LowP",0.142857143,0.001742447,47.709,11.40253481,2.166481614,4.21893788,0.583,0.735,0.152,0.000383,0.0002625,0.5005,-2.9912,1.9203,0.4232044,8674.1,0.97048165,1.13563915852,4.74268694087001,-2.34155138726326,-0.568744449317402,-0.492580982817701,-0.0536890185134826,-0.511958674738865
"21",21,0.022582283,47,"Control",0.712121212,0.016081323,18.8199,4.466550791,1.384630745,1.652623793,0.681,0.722,0.041,NA,NA,NA,NA,NA,NA,4834,NA,NA,2.15600735184019,0.578865482184383,-0.840259623806453,NA,NA,NA
"22",22,0.013184938,18,"LowP",0.142857143,0.001883563,53.1043,12.69789239,2.412599554,4.698220183,0.483,0.956,0.473,0.000457,0.000276,0.412,-2.9912,1.9203,0.6879256,9638.3,1.1595796,0.57000937048,5.28146849805142,-2.31281011445017,0.216448082313095,-0.37784406740626,-1.26078418327574,-0.484669094648322
"23",23,0.009276719,28,"LowP",0.142857143,0.001325246,23.429,5.57314961,1.058898426,2.062065356,0.667,0.882,0.215,0.001001,0.000436,0.49876,-2.9912,1.9203,0.428409088,5313.8,0.974199508,1.1245183016704,2.31805509188213,-2.42652323849835,-0.414641242174968,0.465627310753523,-0.0774217370071138,-0.16123703431596
"24",24,0.021466889,48,"Control",0.712121212,0.015287027,25.6425,6.104588825,1.892422536,2.258697865,0.9707,1.046,0.0753,0.0002125,0.000175,0.39,-2.9912,1.9203,0.753732,5425,1.206587,0.4294008356,2.94668951539117,0.417090219065099,-0.756358988806683,-0.756941037921089,-1.56085303779291,-0.688835582733125
"25",25,0.007119748,98,"Control",0.712121212,0.005070124,16.4917,3.907573253,1.211347708,1.445802104,NA,NA,NA,NA,NA,NA,NA,NA,NA,2491.9,NA,NA,1.88618848305456,-1.6637992366154,NA,NA,NA,NA
"26",26,0.021783556,49,"Control",0.712121212,0.015512532,19.824,4.70762516,1.4593638,1.741821309,NA,NA,NA,NA,NA,NA,NA,NA,NA,5841.7,NA,NA,2.27237412703914,0.463019105411894,NA,NA,NA,NA
"27",27,0.010253067,110,"LowP",0.142857143,0.001464724,36.5517,8.723778653,1.657517944,3.227798102,0.765,0.777,0.012,0.000396,9.11e-05,0.32112,-2.9912,1.9203,0.959765856,6299,1.353762896,-0.0108317045152,3.62850469504406,-2.39811557920087,-0.911196020745034,-0.472424497677854,-2.50034134229939,-0.858435269369907
